File_Name,Transcription,Ground_Truth
1089-134686-0000.flac,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick, peppered flower-fatten sauce.",HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE
1089-134686-0001.flac,"Stuffed into you, his belly, cowtled him.",STUFF IT INTO YOU HIS BELLY COUNSELLED HIM
1089-134686-0002.flac,"After early nightfall, the yellow lamps would light up here and there the squalid quarter of the brothels.",AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS
1089-134686-0003.flac,"Hey Bertie, any good in your mind?",HELLO BERTIE ANY GOOD IN YOUR MIND
1089-134686-0004.flac,Number 10 Fresh Nelly is waiting on you. Good night husband.,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND
1089-134686-0005.flac,"The music came nearer and he recalled the words, the words of Shelley's fragment upon the moon wandering companionless, pale for weariness.",THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS
1089-134686-0006.flac,The dull light fell more faintly upon the page where on another equation began to unfold itself slowly and to spread abroad its widening tail.,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
1089-134686-0007.flac,A cold lucid indifference rained in his soul.,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL
1089-134686-0008.flac,The chaos in which his ardor extinguished itself was a cold in different knowledge of himself.,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF
1089-134686-0009.flac,"At most, by an arms given to a beggar whose blessing he fled from, he might hope we're a lie to win for himself some measure of actual grace.",AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE
1089-134686-0010.flac,"Well now, in this I declare you have a head and so has my stick.",WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK
